lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
34,0,144.0,10,5,4,2,0,0,4,1
133,0,85.5,5,17,3,5,1,0,0,1
377,1,90.0,10,14,3,2,0,1,0,0
70,1,67.5,3,9,4,2,0,3,0,0
150,1,101.15,7,14,4,8,2,0,0,0
118,0,125.0,9,18,3,0,1,0,0,0
13,0,65.0,10,28,2,2,0,0,0,1
37,0,131.4,6,4,4,1,1,0,3,0
55,1,97.93,9,2,4,6,2,0,0,1
134,1,63.75,8,20,3,1,0,0,0,1
5,0,82.35,11,28,4,1,1,3,0,1
41,0,126.9,5,16,4,0,1,0,0,0
49,2,157.76,11,6,4,3,2,0,0,1
18,2,148.0,12,30,4,2,1,0,3,1
57,0,80.3,3,4,4,2,0,0,0,1
150,2,99.45,7,24,4,4,2,0,0,1
2,1,88.0,1,22,4,2,0,0,0,1
34,0,73.8,3,20,3,2,2,0,3,1
1,0,90.0,9,9,2,2,0,0,0,1
30,0,88.4,3,4,4,2,0,0,0,1
5,0,65.0,10,20,2,2,0,0,0,1
12,0,110.5,10,5,3,4,1,1,0,1
68,0,76.22,3,29,4,11,4,0,0,0
1,0,70.0,6,17,3,2,1,0,0,1
111,0,127.8,8,11,4,2,0,0,3,1
64,2,115.6,3,28,4,3,1,0,3,1
48,2,154.98,9,26,4,4,1,0,3,1
3,3,175.0,10,12,4,4,0,0,3,1
47,1,101.7,6,21,4,1,0,0,0,1
85,0,90.95,4,13,4,5,2,0,0,0
143,1,97.54,8,18,4,1,0,0,1,1
115,0,108.0,10,13,4,1,0,3,0,0
37,2,207.9,8,22,4,2,1,0,5,1
15,0,89.0,9,12,4,0,1,3,0,0
47,0,72.25,8,28,3,1,2,0,0,1
4,1,67.0,4,18,2,1,1,0,0,1
0,0,111.0,4,19,4,1,0,0,0,1
1,0,119.0,5,5,3,3,0,0,4,1
25,1,101.0,11,17,4,2,0,0,0,1
40,0,111.83,8,29,4,3,1,0,0,0
49,0,44.67,3,12,3,1,2,0,0,1
110,0,94.5,7,25,3,1,2,1,0,0
134,1,71.0,4,19,3,4,0,0,0,1
43,0,69.52,2,5,4,2,1,0,1,0
141,1,106.5,8,30,4,3,0,0,0,1
22,1,87.0,11,14,4,1,1,0,0,1
35,2,166.58,9,26,4,4,2,0,0,1
2,2,85.0,7,6,3,3,0,0,0,1
24,0,79.2,6,13,4,1,1,3,0,1
2,0,0.0,10,12,1,1,1,0,0,1
150,1,114.66,8,30,4,5,0,0,0,1
6,1,149.33,4,2,4,1,2,0,3,1
0,1,65.0,11,21,2,0,1,0,0,1
136,0,102.85,4,28,4,3,2,0,3,1
72,1,71.4,9,19,3,4,2,0,0,1
74,1,91.48,10,3,4,0,1,0,0,1
59,1,75.0,11,14,3,2,1,0,0,1
53,3,194.4,12,31,4,3,2,1,3,1
51,1,144.0,11,1,4,4,0,0,3,1
1,2,81.0,8,7,4,1,0,3,0,1
40,0,131.4,3,18,4,2,0,0,3,1
9,0,81.0,2,23,4,2,0,3,0,1
0,0,95.0,5,9,2,2,1,0,0,1
41,0,99.0,9,2,4,1,0,3,0,1
0,0,89.75,11,16,3,1,0,0,0,1
50,0,82.45,3,11,4,2,2,0,3,0
20,1,12.0,8,5,4,1,0,0,0,1
219,0,96.3,8,15,4,1,1,0,0,0
155,0,105.3,7,25,4,1,1,0,0,0
0,0,115.0,8,10,4,2,1,0,0,1
75,0,82.45,3,28,4,3,1,0,0,1
10,0,79.3,1,14,4,3,1,0,0,1
2,0,81.6,12,17,4,2,2,0,0,1
34,1,207.9,8,21,4,0,1,0,5,1
33,0,85.5,9,10,3,1,1,3,0,1
0,0,75.0,3,8,2,1,0,0,3,1
57,1,117.73,4,26,4,4,0,0,3,1
8,0,81.0,2,19,2,1,0,0,0,0
100,2,146.7,7,18,4,1,1,0,3,1
2,2,143.22,4,1,4,2,2,0,5,1
10,0,89.59,12,3,4,3,2,0,0,1
101,1,101.18,8,11,4,1,0,0,3,1
56,0,185.0,9,25,3,2,2,0,0,1
103,0,126.72,10,21,4,3,2,0,3,0
163,1,78.96,8,8,4,3,1,0,0,1
1,0,66.0,1,26,2,1,0,0,0,1
13,0,86.0,2,3,2,4,0,0,4,1
12,0,140.0,3,30,4,4,1,0,3,0
220,1,99.0,8,15,4,1,1,3,0,1
145,1,138.5,8,29,3,1,2,1,0,1
23,2,98.4,10,16,4,2,0,0,0,1
46,0,104.4,4,1,4,2,0,0,3,0
237,0,104.55,12,15,4,3,2,0,3,1
117,1,105.3,7,19,4,2,0,0,0,1
19,0,139.0,7,27,4,2,0,3,0,1
20,0,85.0,3,6,4,1,2,0,0,0
69,1,117.18,4,10,4,2,2,1,3,1
24,1,60.06,11,20,4,0,1,3,0,1
150,0,231.6,8,19,4,2,1,1,5,0
9,1,155.0,11,9,4,3,0,3,0,1
32,1,74.8,11,27,4,9,4,0,0,0
25,1,168.38,11,6,4,4,2,0,0,0
3,0,65.0,10,12,2,2,1,0,0,1
20,2,210.57,7,29,4,2,0,0,6,1
156,1,106.25,8,14,4,3,2,0,0,0
29,0,94.5,9,15,4,2,0,0,0,1
145,1,76.5,8,9,4,1,2,0,0,0
79,0,105.0,4,30,3,3,2,1,0,1
28,1,115.03,4,17,4,1,2,0,0,0
84,2,125.1,9,4,4,1,2,3,0,1
57,0,75.33,6,10,3,2,1,0,0,1
213,1,94.5,8,12,4,2,1,3,0,1
65,1,75.54,10,27,4,1,0,0,0,1
32,1,94.94,9,2,4,2,1,0,3,1
14,0,127.67,4,16,4,1,2,0,0,0
181,2,76.5,8,17,4,0,1,0,0,1
56,0,75.0,11,14,3,2,1,0,0,1
191,0,101.75,7,25,4,4,1,0,0,0
98,1,121.5,7,15,4,2,1,0,0,1
17,0,95.0,6,13,3,3,1,0,0,0
131,0,115.94,6,19,4,3,2,0,0,0
97,0,112.01,5,22,4,2,2,0,1,0
4,0,70.0,12,16,3,1,0,0,0,1
28,0,98.2,9,5,4,3,1,0,0,1
31,1,135.9,7,27,4,2,0,0,0,0
33,1,57.92,9,26,3,3,2,0,0,1
86,1,99.3,4,6,4,3,0,0,3,1
29,0,139.6,5,20,4,2,1,0,3,0
72,0,72.25,9,5,3,2,2,0,0,1
75,0,105.0,10,30,4,0,2,1,0,0
23,3,119.0,10,17,4,2,1,3,0,1
36,1,168.3,7,15,4,1,0,0,3,1
38,0,168.3,8,17,4,1,0,0,3,1
43,1,98.1,9,7,4,1,0,0,0,1
60,0,135.9,9,27,4,3,0,0,0,0
1,0,142.0,11,29,4,2,0,0,5,1
119,1,114.3,8,13,4,2,2,0,0,1
200,1,96.9,8,9,3,3,0,0,0,0
54,1,121.68,9,9,3,2,0,3,0,1
68,1,118.8,4,26,4,2,0,0,3,1
145,0,80.75,9,19,3,2,1,0,0,1
0,0,133.0,9,7,4,0,1,0,0,1
88,0,152.87,8,23,4,5,2,0,3,1
5,1,110.71,8,30,4,5,2,0,0,1
159,0,144.0,9,19,4,2,1,0,0,0
30,2,125.1,9,15,4,1,0,3,0,1
89,2,96.0,12,10,4,1,1,0,0,1
0,0,63.76,10,21,4,2,0,3,0,1
226,1,70.0,10,29,3,2,2,0,0,1
65,0,123.93,7,28,4,2,0,0,3,0
24,1,104.61,5,31,4,4,0,0,3,1
1,0,65.0,11,11,3,5,2,0,0,1
35,1,119.0,8,30,4,4,0,0,0,1
157,0,75.27,8,21,4,3,2,0,0,0
0,1,126.0,6,22,4,1,0,0,3,1
73,0,75.0,11,27,3,1,2,0,0,1
38,2,88.4,11,27,4,2,2,0,0,1
148,2,108.19,5,18,4,4,0,0,3,1
85,0,50.3,8,11,4,2,0,0,0,0
48,0,65.83,10,23,4,1,0,0,0,1
170,2,86.24,7,28,4,3,0,3,0,1
18,1,116.8,3,9,4,4,1,0,3,1
156,1,68.0,7,16,3,2,2,0,0,1
66,0,89.1,4,2,4,1,2,0,0,0
35,0,76.5,6,27,3,2,1,3,0,1
8,1,65.0,3,30,2,5,2,0,0,1
125,1,84.58,7,18,3,5,2,1,0,1
64,1,105.3,4,11,4,2,1,0,0,1
6,0,63.0,2,15,3,2,1,0,0,1
68,0,140.4,5,13,4,2,1,0,3,0
1,0,103.71,5,9,4,3,1,0,0,1
202,2,127.22,8,24,4,4,2,0,3,0
177,1,93.08,8,24,4,4,0,0,0,1
166,0,99.45,6,29,4,4,0,0,3,0
18,0,104.0,11,25,4,2,0,0,0,0
56,0,78.3,3,9,4,2,0,0,0,1
6,0,95.0,10,13,4,1,0,0,0,1
66,0,120.6,8,31,4,4,0,3,0,1
83,1,96.3,4,7,4,2,0,0,0,1
2,0,94.32,9,17,4,1,1,3,0,1
74,2,127.8,12,10,4,1,0,1,0,1
47,1,207.9,8,22,4,3,1,0,5,0
11,0,111.35,6,2,4,1,0,0,0,0
180,0,120.0,10,10,4,2,1,0,0,0
21,0,75.0,10,12,3,2,1,0,3,1
18,0,80.0,12,24,3,1,2,0,0,1
221,0,80.0,8,12,3,1,0,0,0,0
74,0,109.8,11,4,4,2,0,0,0,0
212,1,103.84,10,9,4,2,2,0,3,0
46,0,198.9,5,14,4,1,1,0,5,0
84,1,151.59,7,31,4,5,2,0,3,1
62,0,152.1,8,21,4,0,1,0,0,0
248,0,106.0,10,31,2,2,1,0,4,0
103,1,132.3,10,21,4,2,1,0,3,0
80,0,108.0,10,9,3,2,0,1,3,1
252,0,67.5,11,15,4,2,0,3,0,0
255,0,72.0,11,12,4,5,2,0,1,0
4,2,140.0,10,29,4,1,0,3,0,1
60,0,49.5,9,21,3,1,1,0,0,1
143,1,114.3,8,14,4,2,2,0,0,1
35,1,127.44,9,5,4,3,1,0,0,1
19,0,80.0,10,6,3,3,0,0,0,1
115,0,58.0,3,28,3,3,1,0,0,1
38,0,198.9,5,16,4,3,1,0,5,0
3,0,104.0,3,3,4,1,0,0,0,1
1,1,97.0,11,10,4,4,0,0,0,1
27,1,77.0,1,29,4,2,0,3,0,1
53,1,88.4,11,21,4,4,1,0,0,1
24,1,147.0,6,26,4,0,1,0,3,1
0,0,79.0,1,12,4,1,0,3,0,1
1,2,138.0,8,16,4,1,2,0,0,1
12,1,101.68,6,30,4,1,0,3,0,1
76,1,93.6,11,3,4,3,0,0,0,0
18,0,114.0,6,26,4,0,2,3,0,0
3,0,134.0,10,10,4,0,1,3,0,1
33,0,104.49,5,9,4,1,1,3,0,0
165,0,94.5,7,8,4,2,0,3,0,0
61,1,98.25,9,15,4,1,0,0,0,1
11,0,97.0,11,13,4,5,2,0,0,0
0,1,147.6,10,7,4,2,0,3,0,1
80,1,96.3,6,23,4,1,0,0,0,1
110,0,94.5,7,25,3,1,2,1,0,1
105,2,168.3,9,16,4,2,0,0,3,1
2,0,80.6,1,3,4,0,2,0,0,1
4,0,69.5,1,14,4,1,0,3,0,1
190,0,95.0,6,22,3,4,0,0,0,1
81,0,80.75,10,22,3,2,2,0,0,1
0,0,0.0,8,3,1,0,1,0,0,1
29,2,161.0,10,5,4,4,1,0,3,1
1,0,66.0,1,12,2,1,0,0,0,1
107,1,127.1,8,20,4,1,2,0,0,1
76,2,110.5,4,16,4,2,2,0,0,1
86,0,65.0,6,26,2,0,1,0,0,1
22,1,64.37,11,14,4,2,1,3,0,1
15,0,103.44,4,27,4,3,0,0,0,0
133,1,123.25,7,6,4,4,0,0,0,0
56,0,142.2,8,29,4,4,1,0,3,0
98,2,79.2,12,8,4,3,0,3,0,1
53,0,123.3,4,2,4,1,0,0,3,0
49,1,129.2,11,24,4,3,2,1,3,1
4,2,170.0,9,12,4,1,1,0,3,1
0,0,79.0,12,3,2,1,0,0,0,1
87,1,106.25,10,23,3,1,2,1,0,1
73,0,75.0,12,4,3,0,2,0,0,1
23,1,79.0,2,21,4,1,2,3,0,0
120,2,132.3,10,13,4,3,0,0,3,1
197,0,160.6,12,21,3,4,1,1,0,1
28,1,87.0,1,4,3,3,1,0,0,1
290,0,73.95,12,1,4,3,1,0,0,0
26,0,104.0,12,17,4,1,1,0,0,1
116,0,113.56,8,6,3,1,2,0,4,0
271,0,62.64,12,3,4,1,2,0,0,1
0,1,65.0,8,1,2,0,1,0,0,1
0,0,135.0,5,24,4,1,0,0,0,0
1,0,79.0,2,14,4,0,1,3,0,0
138,1,138.5,8,22,3,1,2,1,0,1
49,0,69.11,9,18,4,2,2,0,0,1
31,0,26.35,4,23,3,4,2,0,3,0
27,0,108.0,9,30,3,2,0,0,0,1
70,2,109.8,12,25,4,1,2,0,0,1
84,1,79.2,11,26,4,1,0,3,0,0
9,1,140.0,10,27,4,3,2,0,0,1
32,2,109.0,10,29,4,1,0,3,0,1
50,1,51.09,2,11,4,3,1,3,0,1
46,0,67.5,3,4,4,2,0,3,0,0
36,0,102.6,10,13,4,1,0,3,0,0
200,3,82.92,10,31,4,2,1,0,1,1
10,0,120.0,11,10,4,1,0,0,0,0
94,0,108.0,10,6,4,3,1,3,0,0
269,0,70.0,12,29,3,3,2,0,0,1
47,2,101.15,3,28,4,3,1,0,0,1
83,2,135.9,9,7,4,2,0,0,0,1
5,2,0.0,10,26,1,1,0,0,4,1
1,0,60.0,2,28,4,1,2,0,0,0
200,4,115.6,10,3,3,4,1,0,3,1
76,0,72.25,7,6,3,4,0,0,0,1
1,0,108.04,10,6,4,1,0,3,3,1
74,0,55.24,2,17,4,4,1,0,0,1
1,1,0.0,9,14,4,0,0,0,0,1
315,0,160.0,9,30,3,2,1,1,0,0
14,1,98.11,12,28,4,5,2,3,0,1
177,1,80.75,7,26,4,4,0,3,0,0
86,1,104.4,10,26,4,2,0,0,3,0
37,0,67.5,11,12,3,1,0,0,0,1
174,0,85.5,7,4,4,2,1,3,0,0
42,0,74.88,11,25,4,2,0,0,0,1
102,1,86.82,4,27,4,5,2,3,0,1
41,2,132.67,10,26,4,3,0,0,0,1
179,0,127.8,8,31,4,2,0,0,0,0
63,0,140.4,5,10,4,3,0,0,3,0
190,1,175.1,9,30,4,2,2,0,5,0
185,0,103.5,12,16,4,2,1,0,3,1
1,0,110.0,9,21,2,1,0,0,3,1
193,0,120.0,6,20,4,2,1,0,0,0
56,1,76.92,6,21,4,3,0,0,0,1
103,0,95.0,5,4,4,3,0,0,0,0
78,2,86.4,11,23,4,1,0,0,0,1
16,1,79.0,2,20,4,1,0,3,0,1
152,0,72.25,8,1,3,2,1,0,0,1
77,0,107.95,4,16,4,2,2,0,3,0
87,0,100.0,9,11,2,1,0,0,0,0
216,0,67.5,12,4,4,1,2,3,0,0
20,1,74.8,12,22,4,3,1,3,0,1
9,1,131.0,4,12,4,1,0,0,0,1
207,0,80.75,7,28,4,4,2,3,0,0
9,2,99.88,12,9,4,2,2,0,3,1
11,1,129.75,7,25,4,2,1,0,0,1
338,0,80.0,10,7,4,2,1,0,0,0
13,1,101.0,4,8,4,1,0,0,0,1
99,1,94.5,7,16,4,1,2,3,0,0
44,2,219.6,8,10,4,1,0,1,3,1
204,0,73.65,8,26,4,2,1,0,0,0
80,0,0.0,9,26,4,2,1,1,0,1
129,1,127.8,8,11,4,3,2,0,3,1
53,1,83.92,3,15,4,5,2,0,0,1
15,0,77.88,1,28,4,4,2,0,1,1
19,0,95.0,6,20,2,1,1,0,0,1
38,1,121.95,4,25,4,3,1,0,0,1
34,1,6.5,2,28,1,0,2,0,0,1
207,2,76.5,8,21,4,3,2,0,0,1
0,0,75.0,3,20,3,0,1,0,0,1
135,1,130.5,8,13,4,1,0,0,0,1
49,0,85.5,10,25,3,2,0,0,0,1
210,0,76.5,7,30,4,1,0,0,1,0
19,2,162.0,8,26,4,2,1,0,3,1
152,1,80.75,7,1,4,2,2,3,0,1
72,2,137.7,4,13,4,2,0,0,3,1
118,0,107.95,5,1,4,3,2,0,3,1
67,1,100.81,3,26,3,1,2,0,0,1
7,0,84.0,3,11,2,2,0,0,0,1
6,0,94.0,11,8,2,1,0,0,3,1
61,1,95.66,9,1,4,5,2,3,0,1
163,1,112.0,7,14,3,3,0,0,0,0
11,1,94.71,9,20,4,1,0,3,0,1
46,0,80.75,3,28,3,3,1,0,0,1
33,0,71.1,3,13,4,2,2,3,0,0
287,0,100.3,9,29,4,3,1,0,0,0
69,0,83.0,9,22,3,2,0,1,0,1
130,0,159.3,6,9,4,2,0,0,3,0
3,0,119.0,4,28,4,1,0,3,0,1
98,1,95.0,5,3,3,4,0,0,0,1
19,0,174.5,3,18,4,2,0,1,0,0
31,0,95.4,3,11,4,2,1,0,3,0
67,0,135.0,10,19,4,3,0,0,0,0
29,1,150.61,9,30,4,2,2,0,5,1
9,2,176.42,8,25,4,3,2,1,3,1
56,0,74.8,3,21,4,3,1,0,0,1
193,0,160.2,12,29,4,3,0,0,5,1
57,0,76.76,3,30,4,4,0,3,0,0
24,1,87.3,1,29,4,2,1,0,3,1
109,0,114.3,7,3,4,1,2,0,0,0
113,0,107.55,7,18,4,3,1,0,0,0
0,0,115.0,8,10,4,0,1,3,0,1
107,1,130.0,6,10,3,2,0,0,0,1
26,1,139.0,10,21,4,2,0,0,0,1
3,1,121.0,6,12,4,0,1,0,0,1
54,0,72.0,11,12,3,1,0,0,0,1
165,3,104.4,10,28,4,2,2,0,3,1
29,1,70.88,11,14,4,5,2,0,3,1
0,0,0.0,3,3,1,1,0,0,3,1
1,0,0.0,8,12,1,2,0,0,0,1
14,0,43.43,2,15,3,5,2,0,0,1
52,1,99.0,10,29,4,1,1,3,0,0
183,2,80.1,10,29,4,1,2,3,0,0
53,1,124.1,3,20,4,2,2,0,3,0
133,1,99.45,5,9,4,4,1,0,0,1
42,0,76.5,8,15,3,1,1,0,0,1
238,0,55.08,11,13,3,0,2,0,0,0
105,0,78.3,3,22,4,1,0,0,0,1
115,1,123.75,8,3,4,4,0,0,0,1
249,2,117.9,9,21,4,1,0,0,0,0
86,1,79.5,4,5,4,3,0,3,0,1
54,0,81.0,10,16,3,2,2,0,0,1
42,1,112.59,9,15,4,1,0,0,0,1
31,0,147.72,8,22,3,2,1,1,0,1
30,0,77.5,3,4,4,2,0,0,0,1
51,1,137.7,7,15,4,1,0,0,3,1
6,0,162.0,8,16,4,0,1,0,5,0
5,1,58.88,2,8,4,3,1,3,0,1
100,1,86.09,4,8,4,5,2,0,0,1
96,1,121.8,4,10,4,1,2,0,0,1
349,0,80.0,10,4,3,5,1,0,0,0
10,2,172.0,4,29,4,2,2,0,3,1
286,0,90.0,10,16,4,0,1,0,0,0
190,0,130.05,12,26,4,4,1,1,3,1
68,1,96.6,10,30,4,1,2,0,0,1
5,1,89.89,11,27,4,2,2,0,0,1
361,0,91.0,11,4,4,1,0,0,0,0
132,0,79.2,11,25,4,2,0,3,0,1
42,1,91.8,11,2,4,4,0,0,0,1
19,1,139.0,7,2,4,2,2,3,0,0
22,0,132.0,12,29,4,4,0,0,3,1
15,1,80.3,1,22,4,2,0,0,0,1
133,2,118.8,10,3,4,0,1,0,0,1
58,0,75.0,11,23,3,3,0,0,0,1
79,1,109.8,4,28,4,1,0,0,3,1
64,4,120.15,9,5,4,1,1,0,0,1
79,1,56.94,3,12,4,5,2,0,0,1
192,0,19.15,9,25,4,3,2,0,0,0
141,0,132.0,6,3,3,2,1,0,0,1
71,2,149.4,9,19,4,3,1,0,3,1
20,2,104.0,11,24,4,3,0,0,0,1
69,2,137.7,7,27,4,3,0,0,3,1
3,0,207.0,8,13,4,1,1,0,0,0
20,0,88.4,12,22,4,3,1,0,0,1
23,0,156.5,9,15,4,3,1,0,0,0
45,1,125.1,9,18,4,1,2,3,0,1
45,1,124.1,3,19,4,2,2,0,3,0
25,2,103.95,4,12,4,2,0,3,0,1
178,1,143.7,8,23,4,3,0,0,3,0
13,0,118.0,4,10,4,0,2,0,0,1
233,0,90.0,10,14,4,2,1,0,0,0
53,0,101.1,6,27,4,2,1,3,0,0
4,2,133.33,10,28,4,2,1,3,0,1
7,0,104.0,4,18,4,0,1,0,0,0
39,0,76.5,3,4,4,2,0,0,0,0
32,1,109.0,10,25,4,4,0,3,0,1
40,2,94.67,12,13,4,3,0,3,0,1
104,1,114.0,10,6,3,2,0,1,0,0
60,0,128.85,5,16,4,2,1,0,0,1
11,1,114.0,10,23,4,2,0,3,0,1
304,0,20.0,12,29,1,3,2,0,0,1
174,0,70.0,10,10,3,1,1,0,0,0
70,1,167.45,12,3,4,5,2,1,3,1
0,2,0.0,4,27,1,0,0,0,3,1
5,1,170.0,8,13,4,2,2,0,0,1
29,1,66.0,12,6,3,1,2,3,0,1
114,1,129.6,9,12,4,4,1,0,0,1
1,1,127.0,2,13,4,2,2,0,3,1
162,1,120.82,8,14,4,5,2,0,0,0
190,1,105.3,10,29,4,1,2,0,0,0
133,0,86.36,8,15,3,2,1,0,0,0
77,1,107.1,7,5,4,2,0,3,0,1
29,1,184.06,9,26,4,2,1,0,6,1
73,0,155.76,3,27,4,2,2,0,5,0
187,2,122.8,7,18,4,2,1,0,3,0
30,1,78.6,1,31,4,0,2,0,3,1
7,1,142.19,10,29,4,1,2,1,0,1
66,0,126.0,7,19,4,3,0,0,3,0
27,0,137.76,6,19,4,3,2,0,3,0
78,1,115.68,8,19,4,2,1,0,1,1
195,0,121.5,8,13,4,1,0,0,0,0
5,1,215.6,10,13,4,2,0,0,6,1
20,0,95.0,4,3,3,1,2,0,0,1
14,1,114.0,9,15,4,3,0,0,0,1
75,0,140.4,5,26,4,2,0,0,3,0
3,2,118.0,3,11,4,2,0,0,0,1
30,1,109.1,9,25,4,0,2,0,0,1
139,0,116.45,7,11,4,4,1,0,0,0
7,1,119.5,8,20,4,3,1,0,0,0
9,1,0.0,9,5,1,1,0,0,4,1
47,2,132.6,4,29,4,2,2,0,3,1
0,0,65.0,3,15,2,2,0,0,0,1
100,1,94.5,7,23,4,1,2,3,0,1
50,0,71.33,12,31,3,3,0,0,0,1
198,1,136.5,7,30,3,2,2,0,5,0
87,1,51.97,3,11,4,2,1,3,0,1
204,0,72.75,10,9,3,2,2,0,0,1
164,0,99.45,5,2,4,3,1,0,0,0
24,0,107.1,9,26,4,1,1,3,0,0
45,1,60.98,12,4,4,1,2,3,0,1
7,0,66.0,2,29,2,1,1,0,0,1
29,1,139.0,8,8,4,0,1,3,0,1
9,0,68.0,12,16,3,2,1,0,0,1
5,2,231.0,7,23,4,1,0,0,5,1
2,0,72.5,8,15,3,1,2,1,0,1
118,1,58.9,8,26,4,4,0,0,0,0
153,2,133.88,7,4,4,3,1,0,0,0
122,0,86.0,3,27,3,1,2,1,0,1
29,2,152.0,10,5,4,2,0,0,0,1
123,1,70.73,4,30,4,5,2,0,0,1
85,2,134.1,8,16,4,5,0,0,0,1
80,1,94.6,11,4,4,2,1,0,0,1
13,1,95.0,9,11,4,1,0,0,0,1
64,1,106.2,11,3,4,3,1,0,3,0
0,0,89.0,4,3,4,0,1,3,0,1
6,0,104.0,4,18,4,1,1,0,0,1
24,1,139.0,9,16,4,2,0,3,0,1
79,1,70.0,12,19,3,1,2,0,0,1
69,1,110.08,4,18,4,3,1,0,3,1
2,2,145.0,9,20,4,3,2,0,0,1
117,1,105.74,6,17,4,3,2,3,0,1
54,2,89.1,10,29,4,1,1,3,0,1
44,1,80.26,3,10,4,3,2,0,0,1
4,1,186.33,9,13,4,1,2,0,5,1
12,0,104.0,12,4,4,0,2,0,0,1
2,1,79.5,12,20,4,3,0,3,0,1
48,0,98.18,3,15,4,5,1,0,3,0
25,0,139.0,9,8,4,2,0,3,0,0
106,2,72.25,12,4,4,2,2,0,0,0
61,2,109.8,9,1,4,3,1,0,0,1
34,2,90.9,10,18,4,3,2,0,0,1
142,1,138.55,8,8,4,4,1,0,3,1
23,1,166.0,8,3,4,1,0,0,3,1
222,0,116.1,9,14,4,3,0,0,1,0
170,0,300.0,7,29,3,3,2,1,0,0
75,1,90.95,4,7,4,3,2,0,0,1
28,1,141.0,5,21,4,1,0,0,0,0
132,0,151.2,10,16,4,2,2,0,3,0
64,1,88.4,7,28,3,5,2,0,0,1
29,1,85.0,12,2,2,2,0,0,0,1
34,0,69.3,10,18,3,0,1,0,0,1
7,2,91.0,11,16,4,0,1,0,0,1
137,0,105.3,4,21,4,3,0,0,3,1
155,1,115.68,8,9,4,4,0,0,0,0
139,0,85.5,7,2,4,1,0,3,0,0
150,2,118.8,10,3,4,2,1,0,0,1
0,0,85.0,1,19,4,1,0,0,0,1
41,0,106.8,3,24,4,3,0,3,0,1
45,2,204.0,10,6,4,3,0,0,5,1
95,1,93.08,4,5,4,4,0,0,3,1
4,1,153.0,8,27,4,1,0,0,5,1
189,1,97.75,8,15,3,4,1,1,0,1
39,0,120.6,4,20,4,4,1,0,3,0
7,1,143.0,8,26,4,2,2,0,0,1
32,2,103.5,9,7,4,1,1,0,0,1
161,1,66.53,6,28,4,7,2,0,0,1
99,1,132.6,5,23,4,3,1,0,3,1
37,1,92.31,12,15,4,9,4,0,0,0
109,1,66.49,10,25,4,3,0,0,0,1
48,0,72.9,3,7,4,2,1,0,0,0
71,0,107.95,4,8,4,2,2,0,3,1
24,1,147.9,12,21,4,4,0,0,5,1
327,0,76.0,9,9,3,4,2,1,0,1
0,0,66.0,1,19,2,3,0,0,0,1
9,1,75.0,12,10,2,1,0,0,0,1
23,0,119.85,6,15,4,1,0,0,0,0
105,0,62.86,4,6,4,2,0,0,0,1
87,1,95.7,12,29,4,3,0,0,1,1
208,1,72.25,12,1,4,3,0,0,0,0
14,0,125.2,4,7,4,3,2,0,3,0
100,0,102.34,12,26,4,4,1,0,0,0
78,0,120.49,12,16,3,2,0,1,0,1
210,0,167.95,8,2,4,4,0,0,5,0
2,1,104.0,4,11,4,1,1,3,0,1
2,0,197.0,5,20,4,1,0,0,3,1
4,0,88.0,3,7,3,3,1,1,0,1
225,0,106.25,10,17,4,4,1,0,0,0
23,1,147.9,11,22,4,4,0,0,5,0
30,1,92.0,1,1,4,2,0,3,0,1
39,1,71.1,3,4,4,2,1,3,0,0
18,0,109.0,3,17,4,3,0,0,0,0
210,2,96.3,10,19,4,4,0,0,0,0
6,1,67.0,8,28,2,0,2,0,0,1
105,0,110.0,10,12,4,2,1,1,0,0
116,1,111.92,5,12,4,3,2,0,0,1
1,0,129.56,9,22,4,1,0,3,0,1
40,0,100.02,6,26,4,1,2,0,0,0
16,0,76.0,3,8,2,3,0,0,3,1
152,0,98.87,8,23,4,5,2,0,0,0
90,1,93.6,12,21,4,3,0,0,0,1
12,0,80.0,2,24,4,3,0,0,0,1
63,2,135.9,8,14,4,2,2,0,0,1
14,0,73.0,5,27,3,1,0,0,0,1
131,2,136.5,7,10,4,2,2,0,0,1
9,2,177.0,6,17,4,2,0,0,3,1
5,0,106.83,2,12,4,8,4,0,3,0
73,1,87.3,4,5,4,1,0,0,0,1
100,2,93.6,12,2,4,2,1,0,0,0
60,1,88.61,3,17,4,3,1,0,0,1
48,0,159.3,5,6,4,2,1,0,3,0
180,0,70.0,10,16,3,1,0,0,0,0
58,0,58.3,12,23,3,4,0,1,0,1
76,1,131.4,6,28,4,2,0,0,3,1
123,0,126.86,6,28,4,6,2,0,0,0
180,0,96.3,8,28,4,0,2,0,0,0
54,1,105.0,4,5,3,3,0,0,0,1
71,0,116.1,6,9,4,1,0,3,0,0
1,0,142.38,12,17,4,4,2,0,5,1
58,2,88.2,12,9,4,1,0,3,0,1
71,0,90.0,9,9,2,2,0,0,0,1
16,0,55.0,11,27,3,2,0,0,0,1
13,2,265.44,7,13,4,7,2,0,6,1
26,0,153.0,4,10,4,2,2,0,3,0
26,2,169.52,9,28,4,4,1,0,6,0
0,2,65.0,12,20,3,1,0,0,0,1
177,1,68.68,10,30,3,3,2,0,0,1
25,0,57.5,11,22,3,3,2,0,0,1
17,1,120.0,12,29,4,2,0,3,0,1
